,Max Temp,Min Temp,Diesel-Price(in Rs),Agri contri in GDP(%),Rainfall,Jowar-Price(Target),Jowar-MSP
Dec-11,25.6,23.59,37.75,12.42,7.6,247.9,880.0
Jan-12,23.61,12.91,40.91,12.26,26.5,259.4,980.0
Feb-12,26.44,13.91,40.91,12.26,12.7,250.8,980.0
Mar-12,30.2,14.91,40.91,12.26,11.3,237.1,980.0
Apr-12,32.46,15.91,40.91,12.26,47.5,236.8,980.0
May-12,34.3,16.91,40.91,12.26,31.7,240.8,980.0
Jun-12,33.6,17.91,40.91,12.26,117.8,235.3,980.0
Jul-12,31.88,18.91,40.91,12.26,250.2,230.8,980.0
Aug-12,30.96,19.91,40.91,12.26,262.4,236.5,980.0
Sep-12,30.65,20.91,40.91,12.26,193.5,234.9,980.0
Oct-12,30.2,21.91,40.91,12.26,58.7,234.6,980.0
Nov-12,28.11,22.91,40.91,12.26,30.7,225.8,980.0
Dec-12,25.34,23.91,40.91,12.26,11.7,232.3,980.0
Jun-13,32.44,18.22,48.63,11.85,219.8,246.9,1500.0
Jul-13,31.07,19.22,48.63,11.85,310.0,245.7,1500.0
Aug-13,30.76,20.22,48.63,11.85,254.7,241.2,1500.0
Sep-13,31.04,21.22,48.63,11.85,152.7,241.6,1500.0
